food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium
Vegetables,19.01,71.87,67.12,28.2,92.91,Biogas,7.06,2.73,38.92,24.14,1.44,0.52,1.14
Vegetables,39.52,84.69,59.11,19.37,96.46,Biogas,15.25,6.69,39.74,32.2,1.8,0.53,1.14
Meat,14.76,66.26,25.89,27.82,86.18,Biogas,5.09,1.96,-1.94,-24.58,2.73,1.17,0.65
Fruits,26.26,84.51,7.94,6.34,85.38,Animal Feed,8.97,4.44,1.6,-3.15,1.44,0.4,0.43
Vegetables,28.7,77.96,73.65,25.13,90.77,Biogas,10.42,4.47,48.53,38.13,1.01,0.71,1.22
Grains,20.14,23.68,12.73,12.04,95.07,Compost,7.66,0.95,0.68,-8.81,0.88,0.39,0.31
Vegetables,48.05,93.59,34.59,18.12,96.44,Biogas,18.53,8.99,16.47,5.27,1.42,0.52,1.28
Vegetables,34.67,71.12,67.79,11.91,98.31,Biogas,13.64,4.93,55.89,57.54,1.37,0.51,1.28
Vegetables,15.15,78.68,18.97,21.51,93.58,Biogas,5.67,2.38,-2.54,-20.26,1.61,0.36,1.26
Vegetables,8.33,80.87,38.52,19.52,91.49,Biogas,3.05,1.35,19.0,7.19,1.52,0.53,1.01
Mixed,24.16,71.16,19.81,15.28,83.52,Compost,8.07,3.44,4.54,-6.78,1.15,0.27,0.93
Vegetables,36.35,93.43,37.3,18.69,93.94,Biogas,13.66,6.79,18.6,7.37,1.31,0.45,1.43
Grains,5.79,23.96,60.39,21.29,99.5,Compost,2.31,0.28,39.09,29.88,0.79,0.3,0.38
Vegetables,41.12,83.5,53.43,1.33,94.09,Animal Feed,15.47,6.87,52.1,61.46,1.57,0.52,1.09
Grains,12.76,19.09,88.04,22.94,98.28,Compost,5.02,0.49,65.1,59.77,0.97,0.22,0.39
Grains,35.23,18.31,29.99,23.88,96.88,Compost,13.65,1.29,6.11,-11.77,1.04,0.28,0.48
Vegetables,31.63,90.19,55.9,1.98,96.6,Animal Feed,12.22,5.7,53.93,63.13,1.31,0.53,1.58
Vegetables,36.37,93.64,36.27,7.52,95.42,Animal Feed,13.88,6.81,28.75,28.48,1.69,0.61,1.03
Fruits,22.86,64.09,14.22,0.68,97.37,Animal Feed,8.9,2.93,13.54,15.7,1.29,0.44,0.9
Vegetables,37.27,80.27,60.81,29.81,91.17,Biogas,13.59,5.98,31.0,13.35,1.34,0.56,1.51
Grains,16.28,14.02,60.53,17.45,97.52,Compost,6.35,0.46,43.08,37.74,1.06,0.3,0.42
Grains,8.46,11.31,4.74,18.67,97.18,Compost,3.29,0.19,-13.93,-31.65,1.01,0.3,0.43
Grains,22.52,23.16,26.23,14.34,99.29,Compost,8.94,1.04,11.89,2.8,1.14,0.29,0.48
Mixed,41.18,41.22,40.39,9.64,94.09,Animal Feed,15.5,3.39,30.75,29.19,1.28,0.28,0.85
Vegetables,42.03,90.63,3.66,6.19,98.23,Animal Feed,16.52,7.62,-2.53,-7.99,1.77,0.59,1.07
Grains,20.93,12.24,30.68,17.3,95.21,Compost,7.97,0.51,13.38,2.22,0.84,0.35,0.4
Mixed,16.09,84.87,74.86,12.69,81.55,Compost,5.25,2.73,62.18,64.46,1.11,0.43,0.7
Vegetables,39.91,93.91,99.34,24.31,99.9,Biogas,15.95,7.49,75.03,70.58,1.77,0.58,1.3
Grains,19.43,21.96,79.41,5.61,99.4,Animal Feed,7.73,0.85,73.79,84.06,1.05,0.31,0.4
Vegetables,33.79,84.48,33.71,16.75,90.83,Biogas,12.28,5.71,16.96,6.95,1.52,0.54,1.39
Grains,48.4,12.63,83.2,0.36,98.79,Donation,19.13,1.22,82.83,99.11,1.04,0.36,0.41
Vegetables,9.86,81.54,32.41,8.58,99.05,Animal Feed,3.91,1.61,23.83,21.73,1.5,0.48,1.4
Vegetables,25.66,81.4,20.37,28.32,93.72,Biogas,9.62,4.18,-7.95,-32.2,1.6,0.47,1.12
Mixed,1.17,47.67,10.07,24.3,96.0,Compost,0.45,0.11,-14.23,-36.52,1.42,0.18,0.65
Mixed,33.28,77.14,21.9,1.85,96.94,Animal Feed,12.91,5.13,20.05,22.58,1.44,0.33,0.56
Meat,8.14,52.32,65.58,9.81,88.58,Compost,2.88,0.85,55.77,59.07,3.24,1.07,0.37
Vegetables,4.85,80.59,5.57,11.81,98.26,Biogas,1.91,0.78,-6.24,-16.93,1.52,0.61,1.05
Vegetables,43.31,94.2,55.0,13.43,93.26,Biogas,16.16,8.16,41.57,39.13,1.5,0.49,1.23
Vegetables,2.34,85.54,34.13,0.68,97.67,Animal Feed,0.92,0.4,33.45,39.6,1.75,0.55,1.45
Fruits,22.02,67.05,15.87,5.11,83.5,Animal Feed,7.36,2.95,10.76,8.83,1.37,0.51,0.94
Vegetables,21.75,91.86,89.78,18.73,98.81,Biogas,8.59,3.99,71.05,70.28,1.54,0.67,1.4
Vegetables,35.54,89.25,45.22,4.84,96.35,Animal Feed,13.7,6.34,40.39,44.59,1.36,0.35,0.97
Grains,3.49,28.97,19.27,20.8,96.23,Compost,1.34,0.2,-1.53,-18.47,0.99,0.27,0.4
Vegetables,31.78,70.05,80.26,8.87,94.65,Animal Feed,12.03,4.45,71.39,78.56,1.57,0.52,1.45
Fruits,32.37,44.69,46.64,18.76,96.9,Compost,12.55,2.89,27.88,18.45,1.19,0.39,0.54
Grains,12.41,17.05,9.59,13.5,95.72,Compost,4.75,0.42,-3.91,-15.49,1.01,0.29,0.38
Vegetables,39.12,72.42,8.96,3.42,94.51,Animal Feed,14.79,5.67,5.54,3.92,1.82,0.52,1.21
Mixed,20.88,73.47,84.05,20.99,94.1,Biogas,7.86,3.07,63.06,58.89,0.89,0.33,0.98
Grains,13.87,18.5,32.79,23.4,99.57,Compost,5.52,0.51,9.39,-7.45,0.92,0.28,0.44
Grains,29.06,18.45,7.58,10.25,96.21,Compost,11.18,1.07,-2.67,-11.4,0.97,0.29,0.37
Grains,47.28,16.94,34.01,8.75,95.16,Animal Feed,18.0,1.6,25.26,23.31,0.93,0.36,0.38
Mixed,15.56,83.66,34.71,14.57,94.99,Biogas,5.91,2.6,20.14,12.52,1.46,0.56,0.95
Vegetables,15.51,83.23,74.49,13.78,94.68,Biogas,5.87,2.58,60.71,61.83,1.32,0.46,0.78
Grains,35.36,26.83,17.57,27.0,97.63,Compost,13.81,1.9,-9.42,-32.91,0.98,0.32,0.44
Vegetables,35.21,84.25,98.25,12.48,90.54,Biogas,12.75,5.93,85.76,92.93,1.28,0.59,1.34
Grains,43.87,15.38,91.33,13.91,95.95,Compost,16.84,1.35,77.42,81.77,1.09,0.26,0.32
Grains,11.9,16.48,11.44,25.5,98.74,Compost,4.7,0.39,-14.07,-37.28,0.97,0.3,0.29
Meat,38.28,54.45,1.83,24.0,89.95,Compost,13.77,4.17,-22.17,-45.81,3.33,0.95,0.22
Grains,32.82,26.18,97.51,19.93,99.64,Compost,13.08,1.72,77.58,77.15,1.08,0.24,0.3
Fruits,11.86,54.27,32.13,1.12,87.05,Animal Feed,4.13,1.29,31.01,36.32,1.42,0.37,0.92
Vegetables,11.64,86.0,12.48,2.41,91.81,Animal Feed,4.27,2.0,10.06,10.14,1.5,0.62,1.1
Grains,35.21,28.22,50.6,0.53,98.31,Animal Feed,13.84,1.99,50.07,59.66,1.1,0.28,0.43
Vegetables,8.76,71.28,97.75,12.27,97.76,Biogas,3.42,1.25,85.47,92.75,1.71,0.47,1.02
Vegetables,34.8,90.25,42.78,15.61,92.79,Biogas,12.92,6.28,27.17,20.11,1.38,0.58,1.05
Meat,32.85,71.33,47.81,15.74,86.84,Biogas,11.41,4.69,32.07,25.9,3.19,0.83,0.54
Vegetables,4.45,90.98,42.15,1.77,92.87,Animal Feed,1.65,0.81,40.38,47.05,1.75,0.36,1.07
Mixed,47.07,60.17,39.78,2.21,83.77,Animal Feed,15.77,5.66,37.57,43.32,1.03,0.31,0.79
Meat,14.51,63.02,10.01,10.23,85.14,Biogas,4.94,1.83,-0.22,-8.46,2.93,1.0,0.5
Vegetables,27.01,73.06,48.23,25.45,94.73,Biogas,10.24,3.95,22.78,6.98,1.66,0.6,1.04
Mixed,48.51,51.71,6.61,25.94,93.82,Compost,18.2,5.02,-19.32,-43.94,0.61,0.24,1.3
Vegetables,33.18,93.2,68.9,3.51,97.2,Animal Feed,12.9,6.19,65.4,75.67,1.38,0.78,1.14
Grains,8.15,11.35,21.46,4.56,97.35,Animal Feed,3.17,0.19,16.9,16.63,1.05,0.31,0.44
Grains,11.92,24.13,83.1,10.36,95.57,Compost,4.56,0.58,72.75,79.01,1.17,0.36,0.37
Vegetables,47.95,89.03,99.72,12.66,98.07,Biogas,18.81,8.54,87.06,94.34,1.42,0.36,1.06
Grains,45.32,14.92,66.57,13.54,95.72,Compost,17.35,1.35,53.03,52.8,0.9,0.32,0.38
Fruits,12.6,50.76,13.42,22.43,90.21,Compost,4.55,1.28,-9.01,-28.76,1.0,0.48,0.77
Grains,26.11,27.45,32.13,24.06,98.66,Compost,10.31,1.43,8.06,-9.57,0.85,0.29,0.34
Meat,24.13,70.59,72.36,19.87,89.1,Biogas,8.6,3.41,52.49,47.1,3.19,0.89,0.53
Fruits,26.07,80.37,91.21,7.31,90.25,Animal Feed,9.41,4.19,83.9,94.83,0.99,0.7,1.3
Grains,12.89,11.84,77.32,4.31,99.77,Animal Feed,5.14,0.31,73.01,84.16,1.04,0.26,0.46
Grains,2.35,18.59,5.32,1.04,98.5,Animal Feed,0.93,0.09,4.28,4.31,0.97,0.33,0.37
Vegetables,14.72,81.68,23.09,12.91,91.07,Biogas,5.36,2.4,10.19,1.9,2.04,0.58,1.29
Grains,36.13,13.0,52.33,19.87,95.38,Compost,13.79,0.94,32.46,23.05,0.95,0.31,0.41
Meat,24.35,56.43,40.47,3.35,89.81,Compost,8.75,2.75,37.12,41.87,2.24,0.96,0.53
Meat,16.53,65.16,63.04,2.45,90.7,Biogas,6.0,2.15,60.59,70.76,3.41,1.07,0.69
Grains,10.52,17.84,38.69,8.42,97.56,Animal Feed,4.1,0.38,30.27,29.59,1.11,0.34,0.37
Vegetables,32.7,74.82,72.54,25.46,95.02,Biogas,12.43,4.89,47.08,36.12,1.56,0.53,1.31
Vegetables,38.21,71.47,97.56,25.53,90.56,Biogas,13.84,5.46,72.02,66.0,1.29,0.44,0.93
Mixed,40.58,82.8,63.58,23.65,86.63,Biogas,14.06,6.72,39.93,29.0,1.22,0.24,0.8
Grains,15.52,20.15,82.54,0.55,95.31,Donation,5.92,0.63,81.99,97.95,0.96,0.39,0.4
Mixed,23.36,80.94,36.27,28.4,86.93,Biogas,8.12,3.78,7.87,-13.28,1.3,0.36,1.08
Grains,42.16,20.87,59.83,22.48,99.59,Compost,16.8,1.76,37.35,26.83,0.98,0.31,0.37
Grains,33.95,27.85,46.75,4.5,96.87,Animal Feed,13.15,1.89,42.25,47.1,1.1,0.24,0.41
Grains,16.89,27.18,78.31,14.92,96.72,Compost,6.53,0.92,63.4,64.14,0.99,0.21,0.38
Vegetables,2.54,81.66,39.64,28.77,97.43,Biogas,0.99,0.42,10.86,-9.98,1.39,0.37,1.05
Grains,13.72,21.38,92.17,17.33,99.05,Compost,5.44,0.59,74.84,75.94,1.0,0.28,0.38
Grains,48.22,12.59,0.65,15.73,98.7,Compost,19.04,1.21,-15.08,-30.68,1.05,0.3,0.47
Vegetables,28.57,88.47,93.77,13.77,95.31,Biogas,10.89,5.05,80.0,84.99,1.34,0.53,1.2
Grains,11.86,15.41,57.44,2.88,97.55,Animal Feed,4.63,0.37,54.56,63.17,1.0,0.32,0.41
Vegetables,12.96,76.36,26.18,8.28,95.05,Animal Feed,4.93,1.98,17.9,14.86,1.27,0.4,1.22
Fruits,44.44,70.56,84.88,11.0,87.77,Biogas,15.6,6.27,73.89,79.87,1.33,0.42,0.77
Vegetables,28.7,76.81,50.42,22.28,91.45,Biogas,10.5,4.41,28.13,15.93,1.5,0.56,0.99
Vegetables,19.08,74.47,2.95,16.09,93.55,Biogas,7.14,2.84,-13.13,-28.63,1.48,0.46,1.31
Grains,17.12,22.83,49.34,2.8,95.19,Animal Feed,6.52,0.78,46.55,53.62,0.91,0.28,0.37
Vegetables,34.03,80.1,5.18,15.26,91.77,Biogas,12.49,5.45,-10.09,-24.31,1.23,0.58,1.01
Vegetables,40.75,89.75,88.0,29.55,96.89,Biogas,15.79,7.31,58.45,46.51,1.81,0.36,0.92
Vegetables,40.26,82.52,91.95,22.22,94.64,Biogas,15.24,6.64,69.73,65.89,1.73,0.35,1.03
Grains,37.83,24.37,70.13,17.48,96.34,Compost,14.58,1.84,52.66,49.21,1.04,0.28,0.4
Meat,7.73,50.04,87.4,2.51,85.93,Donation,2.66,0.77,84.89,99.87,2.81,0.69,0.39
Grains,47.93,20.06,49.9,28.74,95.66,Compost,18.34,1.92,21.16,2.4,1.09,0.23,0.49
Grains,33.44,27.22,34.7,2.99,99.31,Animal Feed,13.28,1.82,31.71,35.66,1.06,0.28,0.44
Mixed,41.49,65.73,56.96,21.72,93.89,Biogas,15.58,5.45,35.24,24.91,1.4,0.52,0.91
Grains,47.86,22.54,31.58,15.1,97.87,Compost,18.74,2.16,16.48,7.71,0.92,0.28,0.45
Grains,11.8,23.65,75.45,14.41,99.01,Compost,4.67,0.56,61.04,61.72,1.08,0.43,0.43
Grains,17.51,11.2,62.21,11.41,96.02,Compost,6.72,0.39,50.79,51.82,0.97,0.3,0.36
Grains,5.19,25.4,78.09,12.41,95.16,Compost,1.97,0.26,65.69,68.9,0.9,0.4,0.4
Vegetables,7.98,84.86,66.12,0.9,98.28,Animal Feed,3.14,1.35,65.22,77.54,1.23,0.38,1.24
Fruits,46.15,66.87,48.42,10.45,95.87,Biogas,17.7,6.17,37.97,37.21,1.17,0.39,1.02
Vegetables,40.72,70.51,17.2,14.81,93.37,Biogas,15.21,5.74,2.39,-8.98,1.36,0.45,1.13
Grains,26.4,24.55,55.61,22.45,99.46,Compost,10.5,1.3,33.16,21.82,1.05,0.2,0.41
Vegetables,20.65,90.19,2.79,18.41,92.67,Biogas,7.66,3.73,-15.62,-33.48,1.39,0.62,1.24
Fruits,25.2,54.09,81.2,20.57,97.94,Compost,9.87,2.73,60.63,56.29,1.1,0.47,0.69
Grains,26.62,13.55,72.2,27.39,95.58,Compost,10.18,0.72,44.81,31.86,1.1,0.34,0.42
Fruits,39.13,80.42,2.15,15.7,83.01,Compost,12.99,6.29,-13.55,-28.82,1.47,0.48,0.8
Grains,31.53,25.33,41.74,24.48,98.84,Compost,12.47,1.6,17.27,1.14,0.98,0.27,0.41
Grains,34.37,14.54,47.06,19.29,96.63,Compost,13.28,1.0,27.77,17.9,1.02,0.24,0.25
Mixed,43.89,79.38,51.11,25.27,92.66,Biogas,16.27,6.97,25.84,10.79,1.05,0.4,0.73
Mixed,23.13,53.52,99.01,3.29,86.07,Animal Feed,7.96,2.48,95.72,112.24,0.71,0.46,0.77
Vegetables,26.07,91.71,85.3,8.32,93.54,Animal Feed,9.75,4.78,76.98,85.71,1.67,0.47,1.44
Grains,14.66,14.3,99.23,29.22,97.11,Compost,5.69,0.42,70.01,60.64,1.11,0.27,0.36
Mixed,29.74,58.55,57.6,4.13,85.63,Animal Feed,10.19,3.48,53.46,60.85,1.59,0.61,0.97
Grains,18.66,20.33,41.2,11.33,96.83,Compost,7.23,0.76,29.87,26.78,1.03,0.24,0.39
Vegetables,21.75,81.99,89.25,19.5,90.27,Biogas,7.85,3.57,69.74,68.09,1.58,0.41,1.19
Vegetables,41.53,79.04,48.34,12.4,92.26,Biogas,15.32,6.56,35.94,33.21,1.62,0.35,1.22
Mixed,12.81,50.82,67.4,24.6,96.29,Compost,4.93,1.3,42.8,31.68,1.21,0.35,0.83
Vegetables,19.76,74.94,3.51,16.66,96.33,Biogas,7.61,2.96,-13.15,-29.11,1.39,0.52,1.43
Grains,22.08,28.03,60.52,29.67,96.64,Compost,8.53,1.24,30.85,13.28,1.13,0.31,0.38
Vegetables,20.38,81.53,15.5,28.49,98.62,Biogas,8.04,3.32,-12.99,-38.38,1.79,0.46,1.14
Vegetables,21.53,72.06,4.23,5.25,99.21,Animal Feed,8.55,3.1,-1.02,-5.43,1.27,0.54,1.22
Vegetables,31.45,78.24,56.96,1.8,97.12,Animal Feed,12.22,4.92,55.17,64.76,1.57,0.39,1.24
Mixed,39.52,59.91,42.63,11.23,89.85,Compost,14.2,4.74,31.4,28.69,0.45,0.4,0.7
Fruits,9.91,47.93,83.41,11.91,89.39,Compost,3.54,0.95,71.5,76.27,0.65,0.44,0.76
Fruits,36.11,77.27,76.51,10.85,94.62,Biogas,13.67,5.58,65.67,70.13,1.68,0.17,0.75
Vegetables,43.08,79.93,8.81,20.9,91.33,Biogas,15.74,6.89,-12.09,-31.23,1.66,0.53,1.23
Grains,11.3,28.01,91.19,1.06,95.43,Donation,4.31,0.63,90.13,107.31,1.11,0.26,0.39
Grains,43.23,15.03,23.79,21.06,95.53,Compost,16.52,1.3,2.74,-13.56,0.97,0.25,0.48
Mixed,43.35,68.6,27.36,27.45,96.92,Biogas,16.8,5.95,-0.09,-22.06,1.04,0.4,0.83
Fruits,5.15,82.14,57.98,12.77,86.59,Biogas,1.78,0.85,45.21,44.03,0.86,0.27,0.84
Grains,37.13,10.06,42.2,28.97,99.73,Compost,14.81,0.75,13.22,-7.31,0.8,0.35,0.45
Vegetables,4.75,90.1,59.56,29.81,97.39,Biogas,1.85,0.86,29.74,11.84,1.63,0.35,1.61
Mixed,49.1,64.69,31.14,18.98,85.73,Biogas,16.84,6.35,12.16,-0.59,1.92,0.6,1.0
Grains,45.27,14.75,31.93,2.07,98.49,Animal Feed,17.83,1.34,29.86,34.18,0.89,0.29,0.38
Mixed,5.99,76.78,59.58,7.04,96.31,Animal Feed,2.31,0.92,52.54,57.41,1.15,0.33,0.79
Vegetables,28.77,78.91,81.34,20.39,97.3,Biogas,11.2,4.54,60.96,56.84,1.74,0.53,1.4
Grains,31.94,14.27,88.77,24.88,97.98,Compost,12.52,0.91,63.89,56.76,1.02,0.18,0.39
Vegetables,49.3,75.75,87.32,24.97,92.15,Biogas,18.17,7.47,62.35,54.84,1.48,0.57,1.08
Grains,35.55,29.28,38.64,28.84,97.26,Compost,13.83,2.08,9.81,-11.3,1.09,0.39,0.4
Vegetables,20.77,87.85,33.51,20.15,94.29,Biogas,7.83,3.65,13.37,-0.08,1.39,0.35,1.23
Grains,28.46,17.82,42.88,7.02,95.36,Animal Feed,10.86,1.01,35.85,37.41,1.1,0.24,0.49
Vegetables,39.59,81.98,7.26,1.13,91.09,Animal Feed,14.42,6.49,6.12,6.44,1.98,0.47,1.16
Fruits,33.26,75.15,65.8,16.05,83.27,Compost,11.08,5.0,49.76,46.87,0.87,0.34,0.42
Grains,8.69,19.5,13.5,17.41,99.12,Compost,3.45,0.34,-3.91,-18.63,0.86,0.3,0.47
Mixed,19.63,41.96,34.19,26.91,91.4,Compost,7.18,1.65,7.27,-12.81,1.05,0.44,0.93
Grains,22.94,11.37,52.06,0.48,98.65,Animal Feed,9.05,0.52,51.58,61.51,0.85,0.25,0.37
Grains,19.11,22.61,64.61,3.26,95.45,Animal Feed,7.29,0.86,61.35,71.02,1.04,0.27,0.38
Grains,7.6,28.87,41.74,24.09,97.08,Compost,2.95,0.44,17.65,1.91,1.07,0.28,0.42
Fruits,49.89,43.07,64.62,13.42,94.33,Compost,18.83,4.3,51.2,50.71,1.07,0.38,0.71
Grains,48.34,26.37,71.47,27.05,96.82,Compost,18.72,2.55,44.43,31.68,0.95,0.31,0.51
Vegetables,45.21,86.54,35.25,3.48,90.78,Animal Feed,16.41,7.82,31.77,35.34,1.31,0.45,0.73
Grains,7.46,28.3,88.84,2.03,99.33,Donation,2.96,0.42,86.82,102.56,0.92,0.3,0.51
Grains,28.58,13.5,99.99,26.82,95.61,Compost,10.93,0.77,73.17,66.35,1.12,0.25,0.46
Grains,32.44,13.18,15.93,2.05,99.47,Animal Feed,12.91,0.86,13.88,15.02,1.14,0.16,0.52
Grains,27.83,16.61,18.67,0.33,99.41,Animal Feed,11.07,0.92,18.34,21.74,0.99,0.31,0.3
Grains,26.82,25.29,91.03,16.1,97.24,Compost,10.43,1.36,74.93,77.04,1.07,0.22,0.33
Vegetables,33.87,90.08,77.73,21.24,97.59,Biogas,13.22,6.1,56.49,50.79,1.38,0.55,1.7
Grains,33.23,13.37,72.62,10.06,95.1,Compost,12.64,0.89,62.57,67.04,0.94,0.36,0.38
Meat,33.98,65.75,19.92,28.17,94.3,Biogas,12.82,4.47,-8.24,-32.43,2.51,1.06,0.56
Vegetables,19.26,90.67,80.84,8.87,92.09,Animal Feed,7.09,3.49,71.96,79.25,1.37,0.71,1.29
Vegetables,48.39,84.63,18.75,18.98,91.73,Biogas,17.75,8.19,-0.23,-15.46,1.52,0.46,1.22
Grains,16.93,23.11,77.51,9.21,99.33,Animal Feed,6.73,0.78,68.29,74.58,0.96,0.4,0.46
Vegetables,34.41,73.03,47.06,26.89,94.62,Biogas,13.02,5.03,20.18,2.7,1.71,0.43,0.97
Grains,9.41,27.59,80.55,19.76,97.5,Compost,3.67,0.52,60.79,57.15,1.01,0.23,0.38
Grains,12.1,15.64,49.97,0.69,99.89,Animal Feed,4.83,0.38,49.28,58.58,0.88,0.36,0.32
Mixed,5.31,69.64,89.63,27.37,94.6,Biogas,2.01,0.74,62.25,52.81,1.42,0.46,0.73
Grains,24.75,19.71,84.41,16.29,96.39,Compost,9.54,0.98,68.12,68.71,1.16,0.28,0.37
Fruits,37.51,55.69,76.42,15.83,83.34,Compost,12.5,4.18,60.58,60.04,1.41,0.41,0.9
Vegetables,14.99,84.45,11.39,23.48,93.16,Biogas,5.59,2.53,-12.09,-33.29,1.62,0.44,1.45
Grains,13.4,29.62,66.45,26.24,97.02,Compost,5.2,0.79,40.21,27.27,1.06,0.31,0.36
Meat,38.27,54.03,94.36,14.06,86.91,Compost,13.3,4.14,80.3,85.11,3.26,1.45,0.63
Vegetables,10.35,71.35,86.49,12.82,90.69,Biogas,3.75,1.48,73.66,78.14,1.25,0.53,1.26
Grains,26.75,29.73,24.88,22.04,98.98,Compost,10.59,1.59,2.84,-14.23,1.11,0.38,0.47
Mixed,7.34,68.68,86.82,1.04,89.32,Animal Feed,2.62,1.01,85.78,102.11,1.35,0.32,0.87
Vegetables,49.5,86.83,24.12,11.95,91.41,Biogas,18.1,8.6,12.16,5.03,1.3,0.57,1.04
Fruits,2.39,53.83,2.69,10.66,88.77,Compost,0.85,0.26,-7.97,-18.1,1.11,0.41,0.45
Mixed,14.46,66.35,47.08,8.89,85.37,Animal Feed,4.94,1.92,38.19,38.72,0.9,0.37,0.68
Grains,47.51,11.39,67.61,7.13,98.59,Animal Feed,18.73,1.08,60.48,66.88,0.99,0.24,0.4
Grains,13.83,14.28,21.69,10.68,99.09,Compost,5.48,0.39,11.01,4.68,0.95,0.35,0.37
Vegetables,25.33,79.54,69.01,24.63,90.06,Biogas,9.12,4.03,44.37,33.54,1.34,0.49,1.2
Vegetables,17.52,70.63,45.07,1.84,90.5,Animal Feed,6.34,2.48,43.23,50.41,1.75,0.5,1.09
Vegetables,12.98,77.42,52.24,4.37,96.41,Animal Feed,5.01,2.01,47.87,53.96,1.29,0.63,1.12
Vegetables,36.65,94.43,16.59,22.52,97.05,Biogas,14.23,6.92,-5.93,-25.14,1.78,0.67,1.12
Grains,38.95,21.15,98.95,17.61,98.01,Compost,15.27,1.65,81.35,83.53,1.08,0.25,0.4
Vegetables,44.0,76.61,11.52,13.9,90.45,Biogas,15.92,6.74,-2.37,-13.97,1.44,0.41,1.17
Grains,45.36,24.11,56.83,7.94,99.21,Animal Feed,18.0,2.19,48.89,52.32,0.83,0.26,0.48
Vegetables,22.97,70.35,17.19,16.7,98.8,Biogas,9.08,3.23,0.49,-12.77,1.66,0.67,1.22
Mixed,11.5,55.56,48.46,4.73,86.99,Animal Feed,4.0,1.28,43.73,48.69,1.63,0.24,1.12
Mixed,12.74,65.31,77.0,7.87,81.09,Animal Feed,4.13,1.66,69.13,76.66,0.9,0.31,0.74
Meat,45.84,64.76,87.99,16.65,93.61,Biogas,17.17,5.94,71.34,72.29,3.09,0.98,0.43
Meat,40.32,66.17,20.07,19.29,86.89,Biogas,14.01,5.34,0.78,-14.49,2.64,0.92,0.52
Mixed,38.81,54.96,40.03,1.57,94.83,Animal Feed,14.72,4.27,38.46,44.9,1.18,0.42,0.7
Grains,36.88,20.61,47.01,27.9,99.85,Compost,14.73,1.52,19.12,0.62,0.95,0.28,0.4
Vegetables,11.93,87.89,8.25,11.58,92.94,Biogas,4.43,2.1,-3.34,-13.27,1.41,0.65,1.25
Vegetables,40.69,85.62,6.52,1.1,97.77,Animal Feed,15.92,6.97,5.42,5.62,1.78,0.65,1.0
Vegetables,38.91,83.35,52.24,23.51,94.09,Biogas,14.64,6.49,28.73,15.68,1.5,0.6,1.22
Grains,2.78,26.69,42.41,29.91,99.72,Compost,1.11,0.15,12.51,-8.92,1.0,0.31,0.26
Mixed,3.01,75.06,95.43,23.94,90.82,Biogas,1.09,0.45,71.48,66.62,1.19,0.36,0.88
Grains,46.35,13.21,43.93,10.16,96.88,Compost,17.96,1.22,33.77,32.4,1.17,0.3,0.4
Vegetables,5.59,80.59,99.01,0.77,98.43,Donation,2.2,0.9,98.24,117.27,1.01,0.66,1.02
Vegetables,38.7,83.01,15.02,13.91,93.14,Biogas,14.42,6.43,1.11,-9.79,1.41,0.58,1.11
Fruits,49.2,57.24,30.93,18.19,82.49,Compost,16.23,5.63,12.74,0.73,1.39,0.41,1.0
Fruits,19.4,50.89,9.57,10.09,88.66,Compost,6.88,1.97,-0.51,-8.69,1.7,0.34,0.35
Fruits,20.62,83.56,92.69,3.49,92.76,Donation,7.65,3.45,89.2,104.25,0.8,0.33,0.57
Vegetables,11.83,85.17,14.42,16.9,98.35,Biogas,4.65,2.02,-2.48,-16.49,1.71,0.53,0.96
Vegetables,28.33,83.04,72.2,15.75,90.43,Biogas,10.25,4.71,56.45,55.14,1.64,0.68,1.31
Mixed,47.23,72.7,99.39,8.02,96.41,Animal Feed,18.21,6.87,91.37,103.23,1.88,0.38,0.86
Vegetables,48.15,75.59,88.38,5.05,95.84,Animal Feed,18.46,7.28,83.33,95.96,1.64,0.35,1.34
Vegetables,36.0,87.88,89.21,27.29,93.08,Biogas,13.4,6.33,61.92,52.48,1.62,0.39,0.97
Vegetables,16.93,79.8,9.47,23.74,99.82,Biogas,6.76,2.7,-14.27,-36.12,1.53,0.55,1.31
Vegetables,25.88,89.17,30.57,10.92,96.92,Biogas,10.04,4.62,19.65,14.85,1.48,0.56,1.31
Fruits,2.89,63.15,29.89,14.7,96.57,Biogas,1.12,0.37,15.19,6.47,1.25,0.42,0.85
Meat,40.84,58.58,51.32,12.61,88.26,Compost,14.42,4.78,38.71,36.37,3.32,1.18,0.61
Grains,2.59,11.51,90.36,4.23,97.87,Donation,1.01,0.06,86.14,99.98,1.07,0.27,0.44
Vegetables,13.36,89.56,89.3,20.76,95.21,Biogas,5.09,2.39,68.54,65.63,1.69,0.44,1.12
Grains,48.31,26.99,45.18,19.1,95.89,Compost,18.53,2.61,26.08,16.02,0.68,0.39,0.39
Mixed,45.06,64.02,87.93,26.88,90.92,Biogas,16.39,5.77,61.06,51.76,1.25,0.44,0.93
Fruits,1.46,53.99,95.53,13.11,87.26,Compost,0.51,0.16,82.42,88.41,0.85,0.51,0.61
Vegetables,1.31,75.92,64.64,23.88,99.39,Biogas,0.52,0.2,40.76,29.81,1.17,0.5,1.32
Vegetables,19.34,86.06,83.02,11.57,98.98,Biogas,7.66,3.33,71.46,76.5,1.33,0.63,1.25
